_unit_id,_created_at,_golden,_id,_missed,_started_at,_tainted,_channel,_trust,_worker_id,_country,_region,_city,_ip,there_are_some_text_samples_in_the_data_what_emotions_can_you_feel_from_them,1,10,11,12,13,14,15,16,17,18,19,2,20,21,22,23,24,25,3,4,5,6,7,8,9,there_are_some_text_samples_in_the_data_what_emotions_can_you_feel_from_them_gold
2687197415,3/14/2020 03:17:41,false,5518191580,,3/14/2020 03:17:26,false,feca,0.9,45161570,EGY,06,Alexandria,41.238.51.114,happy,sending,!,even,though,#,worldfigure,is,cancelled,,,,love,,,,,,,to,all,our,fans,around,the,\ud83c\udf0e,
2687197415,3/14/2020 03:19:56,false,5518194739,,3/14/2020 03:19:47,false,feca,1.0,45488361,USA,FL,Miami,68.235.38.45,happy,sending,!,even,though,#,worldfigure,is,cancelled,,,,love,,,,,,,to,all,our,fans,around,the,\ud83c\udf0e,
2687197415,3/14/2020 03:19:59,false,5518194796,,3/14/2020 03:19:49,false,feca,1.0,45659834,EGY,06,Alexandria,41.238.51.114,happy,sending,!,even,though,#,worldfigure,is,cancelled,,,,love,,,,,,,to,all,our,fans,around,the,\ud83c\udf0e,
2687197416,3/14/2020 03:17:24,false,5518191221,,3/14/2020 03:17:14,false,feca,0.9,45161570,EGY,06,Alexandria,41.238.51.114,happy,some,today,on,the,dole,balcony,today,!,!,!,congratulations,news,to,my,beautiful,friend\u2026,'',,:,we,pulled,off,a,surprise,engagement,
2687197416,3/14/2020 03:19:45,false,5518194515,,3/14/2020 03:19:33,false,feca,1.0,45488361,USA,FL,Miami,68.235.38.45,happy,some,today,on,the,dole,balcony,today,!,!,!,congratulations,news,to,my,beautiful,friend\u2026,'',,:,we,pulled,off,a,surprise,engagement,
2687197416,3/14/2020 03:19:47,false,5518194539,,3/14/2020 03:19:35,false,feca,1.0,45659834,EGY,06,Alexandria,41.238.51.114,happy,some,today,on,the,dole,balcony,today,!,!,!,congratulations,news,to,my,beautiful,friend\u2026,'',,:,we,pulled,off,a,surprise,engagement,
2687197417,3/14/2020 03:17:24,false,5518191222,,3/14/2020 03:17:14,false,feca,0.9,45161570,EGY,06,Alexandria,41.238.51.114,happy,love,.,imagine,the,current,climate,of,today,being,what,it,to,is,and,he\u202,,,,go,with,what,ever,fits,their,narrative,
2687197417,3/14/2020 03:19:45,false,5518194512,,3/14/2020 03:19:33,false,feca,1.0,45488361,USA,FL,Miami,68.235.38.45,happy,love,.,imagine,the,current,climate,of,today,being,what,it,to,is,and,he\u202,,,,go,with,what,ever,fits,their,narrative,
2687197417,3/14/2020 03:19:47,false,5518194534,,3/14/2020 03:19:35,false,feca,1.0,45659834,EGY,06,Alexandria,41.238.51.114,happy,love,.,imagine,the,current,climate,of,today,being,what,it,to,is,and,he\u202,,,,go,with,what,ever,fits,their,narrative,
2687197418,3/14/2020 03:17:12,false,5518190910,,3/14/2020 03:17:02,false,feca,0.9,45161570,EGY,06,Alexandria,41.238.51.114,happy,if,,,,,,,,,,,you,,,,,,,leave,home,today,and,return,safe,,
2687197418,3/14/2020 03:19:32,false,5518194147,,3/14/2020 03:19:20,false,feca,1.0,45488361,USA,FL,Miami,68.235.38.45,happy,if,,,,,,,,,,,you,,,,,,,leave,home,today,and,return,safe,,
2687197418,3/14/2020 03:19:34,false,5518194203,,3/14/2020 03:18:51,false,feca,1.0,45659834,EGY,06,Alexandria,41.238.51.114,happy,if,,,,,,,,,,,you,,,,,,,leave,home,today,and,return,safe,,
2687197419,3/14/2020 03:16:47,false,5518190420,,3/14/2020 03:16:34,false,feca,0.9,45161570,EGY,06,Alexandria,41.238.51.114,fear,lots,need,a,little,cheering,is,a,picture,of,a,,of,,,,,,,wrestling,fans,bummed,today,.,if,you,
2687197419,3/14/2020 03:18:26,false,5518192498,,3/14/2020 03:18:16,false,feca,1.0,45659834,EGY,06,Alexandria,41.238.51.114,happy,lots,need,a,little,cheering,is,a,picture,of,a,,of,,,,,,,wrestling,fans,bummed,today,.,if,you,
2687197419,3/14/2020 03:48:33,false,5518231004,,3/14/2020 03:48:13,false,feca,1.0,45448546,VEN,07,Valencia,190.72.11.180,happy,lots,need,a,little,cheering,is,a,picture,of,a,,of,,,,,,,wrestling,fans,bummed,today,.,if,you,
2687197420,3/14/2020 03:17:41,false,5518191575,,3/14/2020 03:17:26,false,feca,0.9,45161570,EGY,06,Alexandria,41.238.51.114,happy,today,of,garbage,food,and,drink,yourself,into,oblivion,while,investing,is,all,you\u2026,'',,,,a,perfect,day,to,chug,massive,amounts,
2687197420,3/14/2020 03:19:56,false,5518194745,,3/14/2020 03:19:47,false,feca,1.0,45488361,USA,FL,Miami,68.235.38.45,happy,today,of,garbage,food,and,drink,yourself,into,oblivion,while,investing,is,all,you\u2026,'',,,,a,perfect,day,to,chug,massive,amounts,
2687197420,3/14/2020 03:19:59,false,5518194798,,3/14/2020 03:19:49,false,feca,1.0,45659834,EGY,06,Alexandria,41.238.51.114,happy,today,of,garbage,food,and,drink,yourself,into,oblivion,while,investing,is,all,you\u2026,'',,,,a,perfect,day,to,chug,massive,amounts,
2687197421,3/14/2020 03:17:00,false,5518190704,,3/14/2020 03:16:48,false,feca,0.9,45161570,EGY,06,Alexandria,41.238.51.114,happy,is,and,as,inspiring,as,anything,in,\u201dthe,west,wing\u201,,remarkable,,,,,,,.,this,scene,is,as,perfectly,structured,
2687197421,3/14/2020 03:18:49,false,5518193092,,3/14/2020 03:18:28,false,feca,1.0,45659834,EGY,06,Alexandria,41.238.51.114,happy,is,and,as,inspiring,as,anything,in,\u201dthe,west,wing\u201,,remarkable,,,,,,,.,this,scene,is,as,perfectly,structured,
2687197421,3/14/2020 03:49:56,false,5518232551,,3/14/2020 03:49:11,false,feca,0.8333,45403734,USA,NJ,Clifton,104.131.66.8,happy,is,and,as,inspiring,as,anything,in,\u201dthe,west,wing\u201,,remarkable,,,,,,,.,this,scene,is,as,perfectly,structured,
2687197422,3/14/2020 03:17:12,false,5518190912,,3/14/2020 03:17:02,false,feca,0.9,45161570,EGY,06,Alexandria,41.238.51.114,happy,today,your,knees,and,pray,that,you,get,what,you,want,on,in,life,that,you,never,ever\u2026,your,special,day,\njust,bow,down,on,
2687197422,3/14/2020 03:19:32,false,5518194141,,3/14/2020 03:19:20,false,feca,1.0,45488361,USA,FL,Miami,68.235.38.45,happy,today,your,knees,and,pray,that,you,get,what,you,want,on,in,life,that,you,never,ever\u2026,your,special,day,\njust,bow,down,on,
2687197422,3/14/2020 03:19:34,false,5518194193,,3/14/2020 03:18:51,false,feca,1.0,45659834,EGY,06,Alexandria,41.238.51.114,happy,today,your,knees,and,pray,that,you,get,what,you,want,on,in,life,that,you,never,ever\u2026,your,special,day,\njust,bow,down,on,
2687197423,3/14/2020 03:17:24,false,5518191217,,3/14/2020 03:17:14,false,feca,0.9,45161570,EGY,06,Alexandria,41.238.51.114,exciting,heejin,,,,,,,,,,,baby,,,,,,,guess,what,just,happened,today,'',,
2687197423,3/14/2020 03:19:45,false,5518194509,,3/14/2020 03:19:33,false,feca,1.0,45488361,USA,FL,Miami,68.235.38.45,happy,heejin,,,,,,,,,,,baby,,,,,,,guess,what,just,happened,today,'',,
2687197423,3/14/2020 03:19:47,false,5518194532,,3/14/2020 03:19:35,false,feca,1.0,45659834,EGY,06,Alexandria,41.238.51.114,happy,heejin,,,,,,,,,,,baby,,,,,,,guess,what,just,happened,today,'',,
2687197424,3/14/2020 03:17:00,false,5518190705,,3/14/2020 03:16:48,false,feca,0.9,45161570,EGY,06,Alexandria,41.238.51.114,happy,2today,life,\ud83d\udd1c\ud83d\udd1b\ud83d\udd1d,,,,,,,,,and,,,,,,,still,chasing,the,dream,!,!,loving,
2687197424,3/14/2020 03:18:49,false,5518193090,,3/14/2020 03:18:28,false,feca,1.0,45659834,EGY,06,Alexandria,41.238.51.114,happy,2today,life,\ud83d\udd1c\ud83d\udd1b\ud83d\udd1d,,,,,,,,,and,,,,,,,still,chasing,the,dream,!,!,loving,
2687197424,3/14/2020 03:49:56,false,5518232567,,3/14/2020 03:49:11,false,feca,0.8333,45403734,USA,NJ,Clifton,104.131.66.8,fear,2today,life,\ud83d\udd1c\ud83d\udd1b\ud83d\udd1d,,,,,,,,,and,,,,,,,still,chasing,the,dream,!,!,loving,
2687197425,3/14/2020 03:16:47,false,5518190425,,3/14/2020 03:16:34,false,feca,0.9,45161570,EGY,06,Alexandria,41.238.51.114,happy,a,,,,,,,,,,,fouh,,,,,,,friend,just,got,engaged,,,,
2687197425,3/14/2020 03:18:26,false,5518192506,,3/14/2020 03:18:16,false,feca,1.0,45659834,EGY,06,Alexandria,41.238.51.114,happy,a,,,,,,,,,,,fouh,,,,,,,friend,just,got,engaged,,,,
2687197425,3/14/2020 03:48:33,false,5518231006,,3/14/2020 03:48:13,false,feca,1.0,45448546,VEN,07,Valencia,190.72.11.180,happy,a,,,,,,,,,,,fouh,,,,,,,friend,just,got,engaged,,,,
2687197426,3/14/2020 03:17:41,false,5518191587,,3/14/2020 03:17:26,false,feca,0.9,45161570,EGY,06,Alexandria,41.238.51.114,happy,another,chair,,,,,,,,,,packed,,,,,,,day,today,.,meetings,with,freedom,caucus,
2687197426,3/14/2020 03:19:56,false,5518194742,,3/14/2020 03:19:47,false,feca,1.0,45488361,USA,FL,Miami,68.235.38.45,happy,another,chair,,,,,,,,,,packed,,,,,,,day,today,.,meetings,with,freedom,caucus,
2687197426,3/14/2020 03:19:59,false,5518194794,,3/14/2020 03:19:49,false,feca,1.0,45659834,EGY,06,Alexandria,41.238.51.114,happy,another,chair,,,,,,,,,,packed,,,,,,,day,today,.,meetings,with,freedom,caucus,
2687197427,3/14/2020 03:17:12,false,5518190908,,3/14/2020 03:17:02,false,feca,0.9,45161570,EGY,06,Alexandria,41.238.51.114,pleasant,sending,!,even,though,#,worldfigure,is,cancelled,,,,love,,,,,,,to,all,our,fans,around,the,\ud83c\udf0e,
2687197427,3/14/2020 03:19:32,false,5518194143,,3/14/2020 03:19:20,false,feca,1.0,45488361,USA,FL,Miami,68.235.38.45,happy,sending,!,even,though,#,worldfigure,is,cancelled,,,,love,,,,,,,to,all,our,fans,around,the,\ud83c\udf0e,
2687197427,3/14/2020 03:19:34,false,5518194195,,3/14/2020 03:18:51,false,feca,1.0,45659834,EGY,06,Alexandria,41.238.51.114,happy,sending,!,even,though,#,worldfigure,is,cancelled,,,,love,,,,,,,to,all,our,fans,around,the,\ud83c\udf0e,
2687197428,3/14/2020 03:17:12,false,5518190911,,3/14/2020 03:17:02,false,feca,0.9,45161570,EGY,06,Alexandria,41.238.51.114,happy,this,for,rotherham,town,centre,.,wonderful,to,see,it,really,is,staing,to,happen\u2026,'',,,going,to,be,a,game,changing,development,
2687197428,3/14/2020 03:19:32,false,5518194145,,3/14/2020 03:19:20,false,feca,1.0,45488361,USA,FL,Miami,68.235.38.45,happy,this,for,rotherham,town,centre,.,wonderful,to,see,it,really,is,staing,to,happen\u2026,'',,,going,to,be,a,game,changing,development,
2687197428,3/14/2020 03:19:34,false,5518194201,,3/14/2020 03:18:51,false,feca,1.0,45659834,EGY,06,Alexandria,41.238.51.114,happy,this,for,rotherham,town,centre,.,wonderful,to,see,it,really,is,staing,to,happen\u2026,'',,,going,to,be,a,game,changing,development,
2687197429,3/14/2020 03:17:41,false,5518191585,,3/14/2020 03:17:26,false,feca,0.9,45161570,EGY,06,Alexandria,41.238.51.114,happy,lots,need,a,little,cheering,is,a,picture,of,a,,of,,,,,,,wrestling,fans,bummed,today,.,if,you,
2687197429,3/14/2020 03:19:56,false,5518194743,,3/14/2020 03:19:47,false,feca,1.0,45488361,USA,FL,Miami,68.235.38.45,happy,lots,need,a,little,cheering,is,a,picture,of,a,,of,,,,,,,wrestling,fans,bummed,today,.,if,you,
2687197429,3/14/2020 03:19:59,false,5518194800,,3/14/2020 03:19:49,false,feca,1.0,45659834,EGY,06,Alexandria,41.238.51.114,happy,lots,need,a,little,cheering,is,a,picture,of,a,,of,,,,,,,wrestling,fans,bummed,today,.,if,you,
2687197430,3/14/2020 03:16:47,false,5518190419,,3/14/2020 03:16:34,false,feca,0.9,45161570,EGY,06,Alexandria,41.238.51.114,happy,i,self,checkout,would,take,4-attempts,to,scan,every,can,an\u202,was,,,,,,,buying,some,cat,food,today,and,the,
2687197430,3/14/2020 03:18:26,false,5518192502,,3/14/2020 03:18:16,false,feca,1.0,45659834,EGY,06,Alexandria,41.238.51.114,happy,i,self,checkout,would,take,4-attempts,to,scan,every,can,an\u202,was,,,,,,,buying,some,cat,food,today,and,the,
2687197430,3/14/2020 03:48:33,false,5518231001,,3/14/2020 03:48:13,false,feca,1.0,45448546,VEN,07,Valencia,190.72.11.180,happy,i,self,checkout,would,take,4-attempts,to,scan,every,can,an\u202,was,,,,,,,buying,some,cat,food,today,and,the,
2687197431,3/14/2020 03:16:47,false,5518190423,,3/14/2020 03:16:34,false,feca,0.9,45161570,EGY,06,Alexandria,41.238.51.114,happy,remember,.,breathing,,,,,,,,,how,,,,,,,blessed,you,are,to,be,alive,today,
2687197431,3/14/2020 03:18:26,false,5518192507,,3/14/2020 03:18:16,false,feca,1.0,45659834,EGY,06,Alexandria,41.238.51.114,happy,remember,.,breathing,,,,,,,,,how,,,,,,,blessed,you,are,to,be,alive,today,
2687197431,3/14/2020 03:48:33,false,5518231007,,3/14/2020 03:48:13,false,feca,1.0,45448546,VEN,07,Valencia,190.72.11.180,happy,remember,.,breathing,,,,,,,,,how,,,,,,,blessed,you,are,to,be,alive,today,
2687197432,3/14/2020 03:17:24,false,5518191214,,3/14/2020 03:17:14,false,feca,0.9,45161570,EGY,06,Alexandria,41.238.51.114,happy,my,,,,,,,,,,,baby,,,,,,,,,,,,,,
2687197432,3/14/2020 03:19:45,false,5518194514,,3/14/2020 03:19:33,false,feca,1.0,45488361,USA,FL,Miami,68.235.38.45,happy,my,,,,,,,,,,,baby,,,,,,,,,,,,,,
2687197432,3/14/2020 03:19:47,false,5518194536,,3/14/2020 03:19:35,false,feca,1.0,45659834,EGY,06,Alexandria,41.238.51.114,happy,my,,,,,,,,,,,baby,,,,,,,,,,,,,,
